"id","name","work_summary_type_id/id","hours","task_id/id","project_id/id","user_id/id","date","create_uid/id"
"__export__.project_task_work_528738","16./ Meeting with Project Manager : Program 4 is evaluated and reviewed","__export__.project_task_work_summary_type_30","0.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-11 13:52:41","__export__.res_users_604"
"__export__.project_task_work_528739","15./ Program 9 --> Read the whole problem definition and understood the requirements. Requirements of the programs are Product Dictionary, Customer Dictionary, Sales_Order Dictionary, prepare_product() method, prepare_customer method, manage_product() method, prepare_order_lines() method, prepare_sales_order() method, Create a Menu from which user can navigate through and select appropriate choice to call a method or enter required fields, unique incremental sku with prefix PRD as a key in product dictionary, unique incremental customer id with prefix c as key in customer dictionary, unique incremental sales_order dictionary id as a key","__export__.project_task_work_summary_type_27","4.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-11 13:43:11","__export__.res_users_604"
"__export__.project_task_work_528724","14./ Program 6 --> Removed Unnecessary for loop from the program thus simplifies the program and enhance the readability","__export__.project_task_work_summary_type_30","0.25","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-11 13:40:59","__export__.res_users_604"
"__export__.project_task_work_528536","13./ Learned openpyxl module and its funcitons like Workbook(), create_sheet(), title(), append(), save(), active(), cell(), load_workbook(), close(), and properties like max_column, max_row.  --> Program 8 --> Initially Done and gives desired output.","__export__.project_task_work_summary_type_30","1.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-11 07:14:08","__export__.res_users_604"
"__export__.project_task_work_528534","12./ Learned csv module methods like writer(), reader(), writerow(), writerows(), open(), accessing through index number.   --> Program 7 --> Initially done and gives desired output. ","__export__.project_task_work_summary_type_30","0.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-11 07:10:31","__export__.res_users_604"
"__export__.project_task_work_528532","11./ Program 6 error solved --> Error was due to looping through csv.reader iterable object 2 times which returns empty list on second loop. Solving Error --> Created a new list variable that stores reader object value and looping, reading value from that list variable","__export__.project_task_work_summary_type_30","2.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-11 06:54:31","__export__.res_users_604"
"__export__.project_task_work_528352","10./ Program 6 --> Progress halted, dictionary from csv file is created, cannot be able to add dictionaries to orderlines list","__export__.project_task_work_summary_type_30","1.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-10 13:48:18","__export__.res_users_604"
"__export__.project_task_work_528353","9./ Learned CSV module of Python. Learned functionality of csv module like reader() function and implementing it with keyword instead of try Except. Learned use of with keyword, Learned to access row as list and row element from csv file, Learned to access fields as a list from csv file","__export__.project_task_work_summary_type_30","1.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-10 13:41:49","__export__.res_users_604"
"__export__.project_task_work_528351","8./ Issues is previous Program is resolved Program 4 total_product_quantity is added, Program 4 requirements and functionality added and fulfilled.   --> Program 5 is Initially completed reading from XML file","__export__.project_task_work_summary_type_30","1.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-10 13:39:41","__export__.res_users_604"
"__export__.project_task_work_528343","7./ Meeting with Project Manager: Program 2 and 3 are analysed and evaluated some readability issues are found,    --> Requirements of Program 4 and 5 are defined, Problem definition is given, and sample output is given","__export__.project_task_work_summary_type_30","0.666666666667","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-10 13:32:24","__export__.res_users_604"
"__export__.project_task_work_528333","6./ Learning xml.dom.minidom module and it's functions and properties, Learning about DOM (Document Object Model), Learning about XML node types, In xml.dom.mindom module I have learned about parse function, childNodes, ELEMENT_NODE, tagName, nodeName, getAttribute() method, getElementsByTagName() method, firstChild","__export__.project_task_work_summary_type_30","2.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-10 13:21:59","__export__.res_users_604"
"__export__.project_task_work_528301","5./ Learning and Revising some Python Concepts and functions like map(), filter(), zip(), reduce(), accumulate(), all(), any(), sum(), Dict Comprehension, loop through dictionary, sorted() key = , dict sort by value, itemgetter(), use of itemgetter in sorted function, use of itemgetter along with map function in sorted funciton of operator module","__export__.project_task_work_summary_type_30","3.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-10 13:13:49","__export__.res_users_604"
"__export__.project_task_work_528021","3./ Program 1 --> Revised Created a simplified version some issues resolved and Tested.   --> Program 2 --> Initially Done. and Tested has 4 classes (Manufacturing, Purchase(Manufacturing), Scrapping(Manufacturing), Product(Manufacturing))  -->  Program 3 --> Initially done and Tested --> Program 4 --> Initially Done and Tested      4./  All 4 Programs pushed to remote GitHub Directory python_exercise_2  5./ Analysis of program 4 and Indexed, Incremental Dictionary Creation, Update, Item Fetching requirements are analysed","__export__.project_task_work_summary_type_30","3.0","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-08 08:12:30","__export__.res_users_604"
"__export__.project_task_work_528020","4./ Meeting with Project Manager: Program 1 evaluated, readability and functionality Issue raised, Discussed about Program 2 Requirements and Functionality","__export__.project_task_work_summary_type_30","0.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-08 06:06:56","__export__.res_users_604"
"__export__.project_task_work_527749","2./ Program 1  --> Initially Done   --> GitHub Repository Created  -->PyCharm Project Created  --> Problem Analysed, Problem Defined, Logic Building, Coding, Testing   --> Some Additional Functionality added   --> Program 1 pushed to remote Repository","__export__.project_task_work_summary_type_30","1.5","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-07 14:04:11","__export__.res_users_604"
"__export__.project_task_work_527750","Previous Task work summary Listed and Described","__export__.project_task_work_summary_type_39","0.25","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-07 14:02:17","__export__.res_users_604"
"__export__.project_task_work_527751","1./ Meeting with Project Manager: Explained the Task, GitHub Repository name, Do's and Don't in process of completing task","__export__.project_task_work_summary_type_30","0.75","__export__.project_task_71258","__export__.project_project_1288","__export__.res_users_604","2022-01-07 13:59:12","__export__.res_users_604"
"__export__.project_task_work_527646","3./ As per Guidance given in the Meeting I have fixed Errors, Readability and Efficiency Issues in the Program.  Some New Concepts are learned and Implemented on the programs like -->  all(), any(), sum(), reduce(), zip(), Dictionary Comprehension, sorted(), itemgetter(), loop through key:val pair using items(), Multiple Inheritance       x==> Task Completed","__export__.project_task_work_summary_type_30","2.5","__export__.project_task_70978","__export__.project_project_1288","__export__.res_users_604","2022-01-07 12:09:45","__export__.res_users_604"
"__export__.project_task_work_527559","Listed and Described the Task","__export__.project_task_work_summary_type_39","0.166666666667","__export__.project_task_70978","__export__.project_project_1288","__export__.res_users_604","2022-01-07 09:07:31","__export__.res_users_604"
"__export__.project_task_work_527557","2./ Meeting with Project Manager: Programs is reviewed by PM, Issues with Code Readability and Code Efficiency in my code is discussed and highlighted,  --> Suggested things like (all() fq, sum() fq, dict comprehension, diff bet list() and copy(), sorted() and itemgetter(), and use of dict.items() in for loop), --> Suggested to implement Multiple inheritance in Order, Product and Customer program where Order should inherit Customer and Product class.","__export__.project_task_work_summary_type_30","1.75","__export__.project_task_70978","__export__.project_project_1288","__export__.res_users_604","2022-01-07 08:55:24","__export__.res_users_604"
"__export__.project_task_work_527558","1./ Revised Git and GitHub concepts like branch, areas like (Untracked files, Modified files, Staging area, Local Repository, Remote Repository), Commands like (checkout, branch, clone, log, add, commit)","__export__.project_task_work_summary_type_30","2.0","__export__.project_task_70978","__export__.project_project_1288","__export__.res_users_604","2022-01-07 08:50:54","__export__.res_users_604"
"__export__.project_task_work_527354","1./ Created new GitHub Repository (python_exercise_1),  2./ Python Exercise 1 : All 38 programs of the exercise are done but may need to revise if some of them can be optimised or can be able to shorten by using functions like lambda, filter, map, reduce, zip;  -> I have pushed all the programs of python exercise 1 into GitHub Repository python_exercise_1 on branch shyamg;  -> Most Frequent concepts I have used and covered in programs are: variable, datatypes, Set, Tuple, List, Dictionary, List Comprehention, Arbitary Arguments, List or Tuple inside Dictionary, Nested Dictionaries, Looping Through Iterable objects(list, tuple, set etc..), Various Methods of accessing dictionary and Iterable object's items, Functions, Lambda Functions, Filter Function, Map Function, Range Function, Inheritance ( Multi Level Inheritance)","__export__.project_task_work_summary_type_30","8.5","__export__.project_task_70978","__export__.project_project_1288","__export__.res_users_604","2022-01-06 13:27:34","__export__.res_users_604"
"__export__.project_task_work_527136","1./ Analyse and Review The Programs,   2./ Logic Building, Writing Program Definitions, Solving Errors, Generating Algorithm or steps of solving the program  3./ Rewriting some programs","__export__.project_task_work_summary_type_27","1.5","__export__.project_task_70978","__export__.project_project_1288","__export__.res_users_604","2022-01-06 08:54:29","__export__.res_users_604"
"__export__.project_task_work_527458","Employment Induction Feedback Survey","__export__.project_task_work_summary_type_68","0.25","__export__.project_task_70978","__export__.project_project_1288","__export__.res_users_604","2022-01-06 04:52:42","__export__.res_users_604"
"__export__.project_task_work_527448","Listed and Described the Task that i have completed","__export__.project_task_work_summary_type_39","0.5","__export__.project_task_70978","__export__.project_project_1288","__export__.res_users_604","2022-01-06 04:47:04","__export__.res_users_604"
"__export__.project_task_work_527447","Listed and Described the Task That I have completed","__export__.project_task_work_summary_type_39","0.5","__export__.project_task_70974","__export__.project_project_1288","__export__.res_users_604","2022-01-05 04:38:34","__export__.res_users_604"
"__export__.project_task_work_527446","1./ Meeting with Project Manager  2./ Python Understanding(Python Variables, Python Data Types, Python Strings, (count, endswith, find, format, index, isspace, lstrip, replace, rfind, rindex, rstrip, zfill, strip, join), Python List, Python Dictionaries, Copying dictionary, Merge dictionaries, Iterating through dictionaries, Fetch value from dictionary, Python Tuples, Python Set, Python Functions, How to define a functions, Call one function from another, Learn how to return value from one function, Python Lambda, Python Built-in Functions, map, Python Class/Objects, Python Inheritance, Python Dates, Find no of Days between two dates, Find Day of the date, Find month of the date, Find year of the date, Convert string to date, Subtract n no of days from a date and find that date, Add year to a date Find date of next Tuesday or Wednesday, Add month to a date, Find no of months between two dates, Find no of years between two dates, Python String Format) are covered Python Understanding Task and it is completed.  3./  Fatching items from Nested Dictionary and List, Nested List or Tuple inside Dictionary  4./ Multi Level Inheritance Program","__export__.project_task_work_summary_type_30","7.0","__export__.project_task_70974","__export__.project_project_1288","__export__.res_users_604","2022-01-05 04:30:35","__export__.res_users_604"
"__export__.project_task_work_527444","GitHub SSH Key Generating, Adding Generated SSH Key to GitHub, Generated GitHub Token","__export__.project_task_work_summary_type_30","1.0","__export__.project_task_70974","__export__.project_project_1288","__export__.res_users_604","2022-01-04 04:35:47","__export__.res_users_604"
"__export__.project_task_work_527445","Listed and Described the tasks that i have completed, Learned functionality of the Task, Projects and Work entry in ERP","__export__.project_task_work_summary_type_39","1.0","__export__.project_task_70974","__export__.project_project_1288","__export__.res_users_604","2022-01-04 04:31:56","__export__.res_users_604"
"__export__.project_task_work_527439","1./ Meeting with Project Manager  2./ GitHub Repository (python_learning) & Video, PyCharm Configuration & Video, Task Video,  3./ Python Understanding(Python Variables, Python Data Types, Python Strings, (count, endswith, find, format, index, isspace, lstrip, replace, rfind, rindex, rstrip, zfill, strip, join), Python List, Python Dictionaries, Copying dictionary, Merge dictionaries, Iterating through dictionaries, Fetch value from dictionary, Python Tuples, Python Set, Python Functions, How to define a functions, Call one function from another, Learn how to return value from one function, Python Lambda, Python Built-in Functions, Python Class Object, Python Inheritance)","__export__.project_task_work_summary_type_30","6.0","__export__.project_task_70974","__export__.project_project_1288","__export__.res_users_604","2022-01-04 04:28:21","__export__.res_users_604"
"__export__.project_task_work_526191","Meeting: On Boarding || Reviewing ERP","__export__.project_task_work_summary_type_46","2.0","__export__.project_task_70955","__export__.project_project_1288","__export__.res_users_604","2022-01-03 13:30:00","__export__.res_users_48"
"__export__.project_task_work_526184","Meeting: On Boarding || ERP Review","__export__.project_task_work_summary_type_46","8.0","__export__.project_task_70954","__export__.project_project_1288","__export__.res_users_604","2022-01-03 11:30:00","__export__.res_users_48"
